Symbol,Market_Cap,PE_Ratio,Forward_PE,PB_Ratio,PS_Ratio,Profit_Margin,Operating_Margin,ROE,ROA,Debt_to_Equity,Current_Ratio,Revenue,Revenue_Growth,Earnings_Growth,EPS,Beta,Dividend_Yield,52W_High,52W_Low,Sector,Sector_Code,MA_20,MA_50,MA_200,Price_to_MA20,Price_to_MA50,Momentum_20,Momentum_60,Volatility_20,Volatility_60,RSI,52W_Range,Annual_Return,Volatility,Sharpe_Ratio,Total_Return
AAPL,3832542658560,34.721554,28.341707,51.967537,9.209279,0.26915002,0.31647,1.7142199,0.22964,152.411,0.893,416161005568,0.079,0.912,7.47,1.093,0.4,288.62,169.21,Technology,XLK,270.5669967651367,272.57918151855466,232.80100120544432,0.958616528320826,0.9515400026965449,-0.06711507299225605,0.041234564014122954,0.11035947841895212,0.1673929199362592,21.935218366108955,0.7654724013675026,0.2114863888129578,0.2793513192877579,0.6138735598248987,0.4082372999869084
MSFT,3562567892992,34.136753,25.571993,9.813268,12.125331,0.35707,0.48873,0.32241002,0.14656,33.154,1.401,293812011008,0.184,0.127,14.04,1.073,0.76,555.45,344.79,Technology,XLK,481.50450286865237,490.38487426757814,478.96978759765625,0.9953800970165334,0.9773547756649976,-0.008666520013293488,-0.0647662750428104,0.1423514908737629,0.19081543298452266,43.99282618396048,0.6720737833622951,0.1381439058268629,0.2223425089469442,0.4414086460195617,0.2521585418523833
NVDA,4499934543872,45.6358,24.364536,37.78107,24.045563,0.53007,0.63168997,1.07359,0.53528,9.102,4.468,187141996544,0.625,0.667,4.05,2.314,0.02,212.19,86.62,Technology,XLK,183.6775001525879,186.36893981933594,162.17273921966552,1.0064379167659692,0.991903483432126,0.02172115234433636,0.028028076784076372,0.3039216097762988,0.34487867970691916,66.90851276442942,0.8033587027058341,0.7451929715667551,0.5098134992882727,1.383237149567916,2.380789085242173
AVGO,1635597156352,72.47269,24.49417,5.8251295,25.601408,0.36198002,0.31765,0.31048,0.09788,166.032,1.705,63886999552,0.164,1.881,4.76,1.218,0.75,414.61,138.1,Technology,XLK,346.6611618041992,359.97261779785157,292.70904678344726,0.9951215746964719,0.9583228950331621,-0.14946952342356967,-0.016223811278898603,0.5354348967047972,0.47891524230176447,63.17024529681579,0.7480482695815254,0.7267634453824572,0.5361427451698145,1.280933951955157,2.184816587056651
CRM,247462887424,34.70494,19.81484,4.0796022,6.137929,0.17913,0.23862,0.12184,0.059499998,19.385,0.984,40317001728,0.086,0.386,7.49,1.266,0.64,367.09,221.96,Technology,XLK,261.18588104248045,250.2792041015625,255.59027465820313,0.9952299159659723,1.0386000841521112,-0.0075868906191908225,0.10051389833057489,0.2506228965725281,0.3216847274398024,52.48394872587231,0.2634309533688797,0.0425325757474103,0.3407751544869286,0.0074318086693361,-0.0324777171614084
ORCL,570373767168,37.31579,24.958607,19.042686,9.347938,0.25280002,0.31997,0.69026,0.06864,432.511,0.909,61015998464,0.142,0.909,5.32,1.651,1.01,345.72,118.86,Technology,XLK,192.14881286621093,211.8006216430664,215.45753616333008,1.0331575892206324,0.937296608161111,0.000979497865585488,-0.3444279784213916,0.5947842660683881,0.5048239966938881,69.26332450194406,0.373380285204314,0.4398199982177227,0.4936632005659265,0.809904399921599,0.901476858400976
CSCO,291906846720,28.525097,16.518171,6.2068386,5.059395,0.17902,0.23604,0.22418,0.06646,63.228,0.927,57696002048,0.075,0.06,2.59,0.863,2.22,80.82,52.11,Technology,XLK,76.61974487304687,75.74915878295899,67.34197729110718,0.964242276920023,0.975324326242399,-0.0630082415921005,0.06840243280144542,0.14529240831646417,0.2153274140882363,27.312840104409275,0.7842714335367534,0.2438075742783508,0.2110655954278068,0.9656124858495064,0.550721990745731
ACN,174054391808,23.195868,18.862385,5.5952716,2.460983,0.107609995,0.16974,0.25016,0.11125,25.694,1.411,70725558272,0.06,-0.016,12.1,1.249,2.32,398.35,229.4,Technology,XLK,271.6530014038086,259.48140045166014,272.88796913146973,1.0331931249694608,1.0816575405373672,0.038096011009219,0.17087316159796195,0.2523652176294554,0.2793700783158395,62.05272694552703,0.29742924761467054,-0.0692204799596382,0.268222826628541,-0.4072005404331099,-0.1882426365879368
AMD,330769203200,106.37173,31.294477,5.441082,10.327824,0.10323,0.13736,0.05317,0.025980001,6.366,2.308,32027000832,0.356,0.603,1.91,1.95,,267.08,76.48,Technology,XLK,212.16599884033204,223.97699920654296,165.75879978179933,0.9575992349360523,0.907102063554257,-0.0824639620233032,-0.14849122811505355,0.4187705415177972,0.5519990546783844,52.302992169416925,0.6713948392709214,0.3102398820587465,0.545826157208744,0.4951024762915437,0.3862581983717552
ADBE,141661601792,19.997005,12.678398,11.98113,5.959931,0.29997,0.36503,0.55426,0.18221001,57.197,0.996,23768999936,0.105,0.172,16.7,1.526,,465.7,311.59,Technology,XLK,347.8279998779297,337.09239990234374,360.95359939575195,0.9601010048766375,0.9906779633826723,-0.0470278823536584,0.010041458050352947,0.24305554479910527,0.28809549248331995,24.593204973050575,0.14204745583238604,-0.234340916224743,0.3387961869723082,-0.8097520774257312,-0.4401883788051429
INTU,180096974848,44.429947,24.489141,9.324416,9.267584,0.21191,0.15697,0.21987,0.09776,,1.386,19433000960,0.41,-0.185,14.56,1.254,0.69,813.7,532.65,Technology,XLK,660.8589263916016,655.4452502441407,680.9475296020507,0.978877637238318,0.9869627160668336,-0.04129896504744379,-0.007045521956407397,0.2618338767982286,0.2543276062825182,37.74961246064251,0.40334888688289067,0.0779570303196042,0.2950936980415288,0.1286270448048081,0.0710795652868963
IBM,284365160448,36.216667,24.905525,10.1906,4.347958,0.120900005,0.1717,0.30156,0.051370002,237.831,0.932,65401999360,0.091,,8.4,0.698,2.21,324.9,214.5,Technology,XLK,302.4699996948242,303.66696594238283,271.1675971984863,1.0057857028057149,1.0018211901205785,-0.02098213689443118,0.08957204975182997,0.19452555250869008,0.27234785691130325,54.31053433388489,0.89559026529005,0.3739075711170642,0.2709158625422209,1.2325139177298134,0.9503136370590616
TXN,173017890816,34.7281,31.1084,10.404002,10.020728,0.29208001,0.36736,0.29757,0.10697,84.477,4.45,17265999872,0.142,0.007,5.48,0.988,2.98,221.69,139.95,Technology,XLK,179.46800155639647,170.99244537353516,179.58637702941894,1.0604118612129876,1.1129731324846495,0.047558757509391425,0.09550213809970343,0.36462424146301925,0.33375166998418626,68.40457413437434,0.6376625401641605,0.1635448083462067,0.3490430197936959,0.353952955195118,0.2257354443525301
QCOM,191824625664,35.485027,14.34148,9.003798,4.3316917,0.12512,0.26235,0.2334,0.14713,73.767,2.816,44283998208,0.1,,5.01,1.212,2.0,205.95,120.8,Technology,XLK,176.24899826049804,173.34012298583986,158.33462909698486,1.0086865771375109,1.025613664724466,-0.01925307778951857,0.09644963074902502,0.23060278102596468,0.365139583012125,56.822502537335076,0.8605208029383324,0.2147509786717344,0.3843529513644427,0.45466277298346,0.3219964466847271
NOW,149619277824,85.42169,34.79857,13.022316,11.811738,0.13665,0.16789,0.16813,0.056500003,21.255,1.063,12666999808,0.218,0.159,1.66,0.979,,239.618,135.732,Technology,XLK,154.1605987548828,163.79791931152343,180.82325950622558,0.919820007168119,0.8657008809865997,-0.18269949997207657,-0.21488288260583377,0.4770844843220292,0.33416886420801506,30.075690150828976,0.0,0.055606294125463,0.3745560501991904,0.041666111432891,-0.0276748918232686
AMAT,239932768256,34.73818,25.9074,11.699037,8.457868,0.24669,0.28441,0.35508,0.15045999,34.533,2.61,28367998976,-0.035,0.133,8.67,1.671,0.61,302.78,123.74,Technology,XLK,267.6879997253418,252.18817779541016,194.83846561431884,1.1251157802546379,1.194266897475726,0.1150272444899787,0.325996800242921,0.48470592092369713,0.42992888826109027,76.92568585292412,1.0,0.4571078418829636,0.4466058075612226,0.9339507790117232,1.0269103461179396
PANW,131746947072,118.8805,43.580513,15.095033,13.786108,0.11687,0.12005,0.15324001,0.03179,4.951,0.985,9556500480,0.157,-0.041,1.59,0.754,,223.61,144.15,Technology,XLK,187.17350082397462,195.82160034179688,192.50155021667481,1.009865196944854,0.9652663646019434,-0.007039274708941945,-0.08553455702376389,0.27990562182125367,0.2842686741578503,54.41011263646654,0.530606332109502,0.1582444428903302,0.3940703151006815,0.3000592492233773,0.1623417165659684
MU,388401987584,32.77208,8.601251,6.607628,9.179476,0.28146,0.44974998,0.22554001,0.10934,21.244,2.46,42311999488,0.567,1.754,10.53,1.503,0.13,346.3,61.54,Technology,XLK,284.3927795410156,254.20677185058594,154.89494976043702,1.213427418568203,1.3575169293315394,0.33571700337251187,0.7986319280414191,0.7984081260720058,0.6948382615446338,80.51699359701506,1.0,0.8993081320208821,0.5856007993419355,1.467395763439058,3.2201721223068533
ADI,147351601152,65.849014,26.737236,4.3575153,13.371644,0.20575,0.30501,0.06573,0.03891,26.5,2.19,11019707392,0.259,0.661,4.57,1.032,1.32,303.2,158.65,Technology,XLK,280.37500457763673,260.07406829833985,233.28279052734376,1.073312484217732,1.1570934182125923,0.06189342291789335,0.2680783525804393,0.2619246387235533,0.2917713898248795,82.68410851969993,1.0,0.3169313904217822,0.3589727887684887,0.7714551049171107,0.6515279969477905
LRCX,275359006720,48.309734,38.038235,26.974674,14.054817,0.29657,0.34354,0.62261003,0.19507,43.991,2.207,19591788544,0.277,0.443,4.52,1.779,0.48,219.59,56.32,Technology,XLK,179.22850036621094,165.4055334472656,115.44805238723755,1.2183330227290006,1.3201493085475815,0.29429193243226504,0.5107023789503888,0.6300909694415096,0.5261065413823343,83.68909705691658,1.0,0.6541945552389038,0.4713019224286843,1.3031870357622857,1.93023731528914
KLAC,184358338560,44.052864,33.24207,36.934444,14.720032,0.33828998,0.41661,0.99167997,0.20436001,122.127,2.692,12524316672,0.13,0.208,31.78,1.444,0.54,1406.97,551.33,Technology,XLK,1272.2494995117188,1218.6413256835938,959.0157916259766,1.1004130876351776,1.148820387503824,0.12343316347506095,0.2900976054767954,0.4952099888590747,0.4125480348986524,69.84690538372413,1.0,0.5675671204301124,0.4380508997853075,1.2043511854185838,1.541016958465534
SNPS,100507115520,64.93696,31.020874,3.4492857,14.247885,0.18886,0.053839996,0.0716,0.018660001,50.459,1.615,7054177792,0.378,-0.665,8.09,1.119,,651.73,365.74,Technology,XLK,479.9340026855469,445.01440002441404,491.5068504333496,1.0942754414920661,1.1801415699064328,0.1004064491673815,0.20481761878734672,0.32983110058424786,0.33430819531684597,81.18313724421554,0.5455852099423726,0.1533900008734873,0.4745881238834619,0.2389229632331275,0.0622572798529221
CDNS,89188696064,84.14139,40.64665,17.136648,17.110128,0.20354,0.35089,0.21736,0.11089,47.685,3.048,5212625920,0.101,0.207,3.89,1.022,,376.45,221.56,Technology,XLK,317.47949981689453,320.09380004882814,319.29270011901855,1.0309641968926149,1.0225440090019389,-0.024207719328891653,0.009904323957503625,0.2886124102466744,0.2681906557621272,61.586610052770006,0.6750158826848536,0.1678048043528277,0.3692014748407921,0.346165476202228,0.2190316482629177
CRWD,118640041984,,97.35234,29.534956,25.9881,-0.06882,-0.05589,-0.088149995,-0.02001,20.154,1.811,4565168128,0.222,,-1.27,1.029,,566.9,298.0,Technology,XLK,477.47050018310546,506.09900146484375,464.03039978027346,0.985631541992831,0.9298773243761349,-0.09087228212873255,-0.03764673034990129,0.324503297326329,0.32045693077203563,46.33446239185463,0.6504603346415624,0.3628755106701958,0.4626621229267224,0.697864585559198,0.6608786843633785
ADSK,58792259584,53.49225,23.803896,20.227173,8.535461,0.16129999,0.25688,0.40333998,0.097449996,94.504,0.823,6888000000,0.18,0.26,5.16,1.466,,329.09,232.67,Technology,XLK,294.39250030517576,297.2597991943359,296.17704971313475,0.9375917821532193,0.928547989878785,-0.08277673966830934,-0.09525370013647283,0.2691182551558969,0.23096673554036823,25.350352312302576,0.4227400513403096,0.1034229575930199,0.2756920372136264,0.2300500160759999,0.1385084401670979
FTNT,60703596544,32.600822,27.05592,80.0202,9.26108,0.28584,0.31648,2.28043,0.13884,148.116,1.027,6554699776,0.144,-0.114,2.43,1.069,,114.82,70.12,Technology,XLK,80.26399993896484,81.63800003051757,90.69670009613037,0.9869929393120751,0.9703814546055689,-0.0394082690905081,-0.05216559601380122,0.23718500928363462,0.2705332985604685,47.950503847746994,0.12020910389173171,0.2005693964967692,0.4015153050066883,0.3999085327372376,0.2687380359232809
MCHP,40652410880,,29.595764,6.071515,9.650653,-0.04394,0.08347999,-0.02854,0.0064499998,80.841,2.252,4212400128,-0.02,-0.816,-0.46,1.445,2.42,77.2,34.13,Technology,XLK,67.34500026702881,61.32314781188965,60.867302112579345,1.1169351981951037,1.2266167655229057,0.08872492701885792,0.1639083482187813,0.49383691277759567,0.4885579485815393,79.43037898279604,1.0,0.088187573153465,0.5048328866729963,0.0954525238461303,-0.07087134048315
ROP,46801829888,29.945591,20.122557,2.3409352,6.061628,0.20337,0.28401,0.081549995,0.041050002,47.288,0.577,7720999936,0.143,0.082,14.52,0.942,0.84,595.17,427.89,Technology,XLK,443.51325073242185,444.2227215576172,516.899167175293,0.9803765656167984,0.9788108002084657,-0.022741989924289885,-0.12812779251480744,0.1431879772933276,0.20384130212559176,31.393021177450578,0.019905109445414983,-0.0786102144474056,0.1950908053682343,-0.60797439542847,-0.1759626870600638
NXPI,60797431808,29.845297,17.543463,6.0528097,5.0475245,0.17111,0.28238,0.20872,0.07891,117.34,2.375,12044999680,-0.024,-0.111,8.08,1.466,1.68,255.45,148.09,Technology,XLK,228.15949935913085,214.07968872070313,210.4213324737549,1.0569360231497793,1.1264496661852785,0.04020183751808615,0.11507170104462094,0.42437496770208705,0.39257371605638014,66.17471845009004,0.949227599314885,0.1757704614006421,0.4170391384886068,0.3255580804542431,0.1948345426202471
APH,171563630592,46.72,34.908833,13.698201,8.180019,0.18218,0.27481002,0.34807998,0.14032,63.99,2.07,20973500416,0.534,1.021,3.0,1.214,0.71,144.37,56.45,Technology,XLK,135.50817909240723,136.9427247619629,108.48618989944458,1.034328736470807,1.0234936095052791,0.009636003371782387,0.11807545743373837,0.3837722832457402,0.3546355112045718,69.74915836745281,0.9597423415552329,0.5991840617042299,0.3213270323715259,1.7402334860444857,1.951949291725387
FICO,39978811392,62.89766,32.357666,-22.671686,20.081085,0.32747,0.48099998,,0.32619,,0.83,1990868992,0.136,0.179,26.48,1.293,,2217.6,1300.0,Technology,XLK,1721.2274963378907,1727.670595703125,1699.9996997070311,0.967640845176179,0.9640321676129702,-0.08779564943944385,0.017645803593930642,0.34388326839612066,0.34606062885670197,37.32281863271232,0.3959430226669461,0.2342743027078516,0.4028558107467265,0.4822427715458494,0.3530004650807643
MSI,63832616960,30.7743,23.477768,27.447527,5.6424127,0.18704,0.26554,1.1517,0.11384,423.891,1.027,11313000448,0.078,0.012,12.45,1.005,1.26,492.22,359.36,Technology,XLK,375.6804458618164,379.3655682373047,420.42907516479494,1.0198561539968063,1.0099493647477564,0.04446521864896469,-0.12421877321602237,0.16235337952599208,0.22213575055893173,62.716475684209314,0.15836869357160216,0.1285174320849088,0.2051462808464924,0.4314844593802066,0.2368371561497142
ON,25421821952,85.15068,21.310953,3.1870387,4.108378,0.051570002,0.18505,0.03891,0.056939997,45.833,5.231,6187800064,-0.12,-0.326,0.73,1.543,,63.63,31.04,Technology,XLK,56.50150012969971,52.58560028076172,49.39605003356934,1.1001477784611606,1.1820726494616656,0.1105949346382955,0.23431292879363164,0.3436776306553271,0.44177191728506005,76.59864393971635,0.9904917732613986,0.0557093596428666,0.5316776562999115,0.0295467741717647,-0.1539403999642782
CARR,47870033920,35.15625,19.2173,3.2718709,2.1701891,0.18052,0.09554,0.0998,0.03812,83.159,1.141,22058000384,-0.068,0.005,1.6,1.314,1.71,81.09,50.24,Technology,XLK,53.47400035858154,54.38620018005371,63.18244119644165,1.051913072199637,1.0342697194099955,0.038781134163357045,-0.01299962810777,0.2561336849267692,0.3008878562133673,68.66584147205256,0.19593642333682307,0.0619803305643917,0.3163119569385722,0.0694894077894762,0.0243212385217486
CARR,47870033920,35.15625,19.2173,3.2718709,2.1701891,0.18052,0.09554,0.0998,0.03812,83.159,1.141,22058000384,-0.068,0.005,1.6,1.314,1.71,81.09,50.24,Technology,XLK,53.47400035858154,54.38620018005371,63.18244119644165,1.051913072199637,1.0342697194099955,0.038781134163357045,-0.01299962810777,0.2561336849267692,0.3008878562133673,68.66584147205256,0.19593642333682307,0.0619803305643917,0.3163119569385722,0.0694894077894762,0.0243212385217486
CARR,47870033920,35.15625,19.2173,3.2718709,2.1701891,0.18052,0.09554,0.0998,0.03812,83.159,1.141,22058000384,-0.068,0.005,1.6,1.314,1.71,81.09,50.24,Technology,XLK,53.47400035858154,54.38620018005371,63.18244119644165,1.051913072199637,1.0342697194099955,0.038781134163357045,-0.01299962810777,0.2561336849267692,0.3008878562133673,68.66584147205256,0.19593642333682307,0.0619803305643917,0.3163119569385722,0.0694894077894762,0.0243212385217486
CARR,47870033920,35.15625,19.2173,3.2718709,2.1701891,0.18052,0.09554,0.0998,0.03812,83.159,1.141,22058000384,-0.068,0.005,1.6,1.314,1.71,81.09,50.24,Technology,XLK,53.47400035858154,54.38620018005371,63.18244119644165,1.051913072199637,1.0342697194099955,0.038781134163357045,-0.01299962810777,0.2561336849267692,0.3008878562133673,68.66584147205256,0.19593642333682307,0.0619803305643917,0.3163119569385722,0.0694894077894762,0.0243212385217486
CARR,47870033920,35.15625,19.2173,3.2718709,2.1701891,0.18052,0.09554,0.0998,0.03812,83.159,1.141,22058000384,-0.068,0.005,1.6,1.314,1.71,81.09,50.24,Industrial,XLI,53.47400035858154,54.38620018005371,63.18244119644165,1.051913072199637,1.0342697194099955,0.038781134163357045,-0.01299962810777,0.2561336849267692,0.3008878562133673,68.66584147205256,0.19593642333682307,0.0619803305643917,0.3163119569385722,0.0694894077894762,0.0243212385217486
CARR,47870033920,35.15625,19.2173,3.2718709,2.1701891,0.18052,0.09554,0.0998,0.03812,83.159,1.141,22058000384,-0.068,0.005,1.6,1.314,1.71,81.09,50.24,Industrial,XLI,53.47400035858154,54.38620018005371,63.18244119644165,1.051913072199637,1.0342697194099955,0.038781134163357045,-0.01299962810777,0.2561336849267692,0.3008878562133673,68.66584147205256,0.19593642333682307,0.0619803305643917,0.3163119569385722,0.0694894077894762,0.0243212385217486
CARR,47870033920,35.15625,19.2173,3.2718709,2.1701891,0.18052,0.09554,0.0998,0.03812,83.159,1.141,22058000384,-0.068,0.005,1.6,1.314,1.71,81.09,50.24,Industrial,XLI,53.47400035858154,54.38620018005371,63.18244119644165,1.051913072199637,1.0342697194099955,0.038781134163357045,-0.01299962810777,0.2561336849267692,0.3008878562133673,68.66584147205256,0.19593642333682307,0.0619803305643917,0.3163119569385722,0.0694894077894762,0.0243212385217486
CARR,47870033920,35.15625,19.2173,3.2718709,2.1701891,0.18052,0.09554,0.0998,0.03812,83.159,1.141,22058000384,-0.068,0.005,1.6,1.314,1.71,81.09,50.24,Industrial,XLI,53.47400035858154,54.38620018005371,63.18244119644165,1.051913072199637,1.0342697194099955,0.038781134163357045,-0.01299962810777,0.2561336849267692,0.3008878562133673,68.66584147205256,0.19593642333682307,0.0619803305643917,0.3163119569385722,0.0694894077894762,0.0243212385217486
CTSH,41640640512,19.73611,15.149174,2.7643225,1.9964827,0.10203,0.15993,0.14501001,0.101560004,7.854,2.358,20856999936,0.074,-0.521,4.32,0.954,1.45,90.82,65.15,Technology,XLK,84.22150001525878,78.78389389038085,74.4107508468628,1.0123306058522294,1.0822009160255572,0.01717969991230106,0.282891400900499,0.20066141272747454,0.24564556516684222,55.96184332937511,0.8339689618068267,0.0887681443185724,0.234815611214913,0.2076869764588939,0.1290941310277533
CDW,17495300096,16.8548,12.630573,6.8488026,0.7916748,0.04757,0.07953,0.43007,0.071,239.737,1.39,22099099648,0.04,-0.056,7.92,1.073,1.89,222.92,126.93,Technology,XLK,138.9025001525879,142.51860229492186,160.4002077484131,0.9610338571769546,0.9366496958546197,-0.10923525323979444,-0.09907125589250732,0.22469278539258944,0.29877164050416505,29.143132489178143,0.05372116410658899,-0.1915659936912121,0.2992470322985442,-0.7738288727962722,-0.3746114465593575
GLW,73072828416,54.63462,27.71329,5.969742,4.8992844,0.09159,0.14561,0.12739,0.044239998,76.51,1.556,14915000320,0.209,,1.56,1.125,1.31,96.64,37.31,Technology,XLK,88.42000007629395,86.52836059570312,66.2094218826294,0.9639222266839195,0.9849950093838482,-0.11190994818339806,-0.012690481842547174,0.37370313837725005,0.38789504834825916,44.32991907075568,0.8129191820190375,0.5930427355031305,0.3205422323421817,1.7253350095620232,1.9216106605510752
HPQ,20068046848,8.101886,6.617821,-57.101063,0.36292696,0.045739997,0.07439,,0.055859998,,0.767,55295000576,0.042,-0.114,2.65,1.22,5.59,35.28,20.65,Technology,XLK,23.046000003814697,24.11815196990967,25.2999170589447,0.93161500085918,0.8902008470690843,-0.15505708609671198,-0.24062583188055708,0.3012138785804281,0.3500699226594554,29.02540532174592,0.03125846264012092,-0.0645637717331973,0.3532561577993618,-0.2959998556984424,-0.2224662238120708
